,traj,step,speed,num_collisions,num_offroad_visits,action,intention,safety_score
428,10,28,30.0,0,2,0,Student,76
429,10,29,30.0,0,2,0,Student,76
430,10,30,30.0,0,2,0,Student,76
431,10,31,30.0,0,2,0,Student,76
432,10,32,30.0,0,2,0,Student,76
433,10,33,30.0,0,2,0,Student,76
434,10,34,30.0,0,2,0,Student,76
435,10,35,30.0,0,2,0,Student,76
436,10,36,30.0,0,2,0,Student,76
437,10,37,30.0,0,2,0,Student,76
438,10,38,30.0,0,2,0,Student,76
439,10,39,30.0,0,2,0,Student,76
440,11,0,25.0,0,0,0,Student,78
441,11,1,25.0,0,0,0,Student,78
442,11,2,25.0,0,0,0,Student,78
443,11,3,25.0,0,0,0,Student,78
444,11,4,28.78342263,0,0,0,Student,78
445,11,5,29.79210124,0,0,0,Student,78
446,11,6,29.96447255,0,0,0,Student,78
447,11,7,29.99392878,0,1,0,Student,77
448,11,8,29.9989625,0,1,0,Student,77
449,11,9,29.9998227,0,2,0,Student,76
450,11,10,29.9999697,0,2,0,Student,76
451,11,11,29.99999482,0,2,0,Student,76
452,11,12,29.99999912,0,2,0,Student,76
453,11,13,29.99999985,0,2,0,Student,76
454,11,14,29.99999997,0,2,0,Student,76
455,11,15,30.0,0,2,0,Student,76
456,11,16,30.0,0,2,0,Student,76
457,11,17,30.0,0,2,0,Student,76
458,11,18,30.0,0,2,0,Student,76
459,11,19,30.0,0,2,0,Student,76
460,11,20,30.0,0,2,0,Student,76
461,11,21,30.0,0,2,0,Student,76
462,11,22,30.0,0,2,0,Student,76
463,11,23,30.0,0,2,0,Student,76
464,11,24,30.0,0,2,0,Student,76
465,11,25,30.0,0,2,0,Student,76
466,11,26,30.0,0,2,0,Student,76
467,11,27,30.0,0,2,0,Student,76
468,11,28,30.0,0,2,0,Student,76
469,11,29,30.0,0,2,0,Student,76
470,11,30,30.0,0,2,0,Student,76
471,11,31,30.0,0,2,0,Student,76
472,11,32,30.0,0,2,0,Student,76
473,11,33,30.0,0,2,0,Student,76
474,11,34,30.0,0,2,0,Student,76
475,11,35,30.0,0,2,0,Student,76
476,11,36,30.0,0,2,0,Student,76
477,11,37,30.0,0,2,0,Student,76
478,11,38,30.0,0,2,0,Student,76
479,11,39,30.0,0,2,0,Student,76
480,12,0,25.0,0,1,0,Student,77
481,12,1,25.0,0,1,0,Student,77
482,12,2,25.0,0,1,0,Student,77
483,12,3,25.0,0,1,0,Student,77
484,12,4,25.0,0,2,0,Student,76
485,12,5,25.0,0,2,0,Student,76
486,12,6,25.0,0,3,0,Student,75
487,12,7,28.91859789,0,3,0,Student,75
488,12,8,29.8152011,0,3,0,Student,75
489,12,9,29.96842004,0,3,0,Student,75
490,12,10,29.99460336,0,4,0,Student,74
491,12,11,29.99907778,0,4,0,Student,74
492,12,12,29.9998424,0,4,0,Student,74
493,12,13,29.99997307,0,4,0,Student,74
494,12,14,29.9999954,0,4,0,Student,74
495,12,15,29.99999921,0,4,0,Student,74
496,12,16,29.99999987,0,4,0,Student,74
497,12,17,29.99999998,0,4,0,Student,74
498,12,18,30.0,0,4,0,Student,74
499,12,19,30.0,0,4,0,Student,74
500,12,20,30.0,0,4,0,Student,74
501,12,21,30.0,0,4,0,Student,74
502,12,22,30.0,1,5,0,Student,70
503,12,23,30.0,1,5,0,Student,70
504,12,24,30.0,1,5,0,Student,70
505,12,25,30.0,1,6,0,Student,69
506,12,26,30.0,1,6,0,Student,69
507,12,27,30.0,1,6,0,Student,69
508,12,28,30.0,1,6,0,Student,69
509,12,29,30.0,1,6,0,Student,69
510,12,30,30.0,1,6,0,Student,69
511,12,31,30.0,1,6,0,Student,69
512,12,32,30.0,1,6,0,Student,69
513,12,33,30.0,1,6,0,Student,69
514,12,34,30.0,1,6,0,Student,69
515,12,35,30.0,1,6,0,Student,69
516,12,36,30.0,1,6,0,Student,69
517,12,37,30.0,1,6,0,Student,69
518,12,38,30.0,1,6,0,Student,69
519,12,39,30.0,1,6,0,Student,69
520,13,0,25.0,0,0,0,Student,78
521,13,1,29.14555883,0,0,0,Student,78
522,13,2,29.85398606,0,0,0,Student,78
523,13,3,29.97504793,0,0,0,Student,78
524,13,4,29.99573599,0,0,0,Student,78
525,13,5,29.99927133,0,0,0,Student,78
526,13,6,29.99987548,0,0,0,Student,78
527,13,7,29.99997872,0,0,0,Student,78
528,13,8,29.99999636,0,0,0,Student,78
529,13,9,29.99999938,0,0,0,Student,78
530,13,10,29.99999989,0,0,0,Student,78
531,13,11,29.99999998,0,0,0,Student,78
532,13,12,30.0,0,0,0,Student,78
533,13,13,30.0,0,0,0,Student,78
534,13,14,30.0,0,0,0,Student,78
535,13,15,30.0,0,0,0,Student,78
536,13,16,30.0,0,0,0,Student,78
537,13,17,30.0,0,0,0,Student,78
538,13,18,30.0,0,0,0,Student,78
539,13,19,30.0,0,0,0,Student,78
540,13,20,30.0,0,0,0,Student,78
541,13,21,30.0,0,0,0,Student,78
542,13,22,30.0,0,0,0,Student,78
543,13,23,30.0,0,0,0,Student,78
544,13,24,30.0,0,0,0,Student,78
545,13,25,30.0,0,0,0,Student,78
546,13,26,30.0,0,0,0,Student,78
547,13,27,30.0,0,0,0,Student,78
548,13,28,30.0,0,0,0,Student,78
549,13,29,30.0,0,0,0,Student,78
550,13,30,30.0,0,0,0,Student,78
551,13,31,30.0,0,1,0,Student,77
552,13,32,30.0,0,1,0,Student,77
553,13,33,30.0,0,2,0,Student,76
554,13,34,30.0,0,2,0,Student,76
